epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2402,1.88395,3.28188,1.81475,0.00693,0.98701,0.27653,0.1193,1.64172,3.08621,1.55577,0.00010002,0.00010002,0.00010002
2,21.5454,1.60473,2.84315,1.60826,0.00612,0.98701,0.50634,0.27609,1.3634,3.00335,1.37006,0.000205983,0.000205983,0.000205983
3,31.976,1.49746,2.3276,1.45433,0.59574,0.23373,0.49342,0.25998,1.44464,2.76143,1.37662,0.000300393,0.000300393,0.000300393
4,43.0925,1.53524,1.96636,1.44616,0.71306,0.18867,0.61663,0.32755,1.42918,2.5519,1.40378,0.000383252,0.000383252,0.000383252
5,64.0597,1.51151,1.80637,1.42936,0.89477,0.23318,0.77573,0.46874,1.3421,2.41943,1.31205,0.000454558,0.000454558,0.000454558
6,74.2813,1.39633,1.62811,1.37046,0.8782,0.60771,0.84515,0.48912,1.29649,2.3146,1.25783,0.000514311,0.000514311,0.000514311
7,88.0057,1.30448,1.57512,1.33072,0.94574,0.64927,0.84433,0.48356,1.30636,2.00511,1.25946,0.000562512,0.000562512,0.000562512
8,142.161,1.30606,1.55377,1.30814,0.86971,0.77176,0.91586,0.54928,1.27502,1.71379,1.22921,0.000599161,0.000599161,0.000599161
9,164.241,1.344,1.47753,1.31039,0.9792,0.89205,0.94744,0.58291,1.273,1.53843,1.20838,0.000624258,0.000624258,0.000624258
10,174.67,1.35703,1.52232,1.35333,0.98295,0.88706,0.95278,0.60335,1.24723,1.45385,1.17902,0.000637803,0.000637803,0.000637803
11,184.843,1.26206,1.8664,1.35603,0.86224,0.84826,0.93544,0.50579,1.58642,1.73196,1.39382,0.000639795,0.000639795,0.000639795
12,206.06,1.30925,1.88381,1.30206,0.94652,0.82956,0.91409,0.58053,1.36066,1.59695,1.25332,0.000630234,0.000630234,0.000630234
13,229.654,1.20662,1.60938,1.26727,0.96644,0.85963,0.92434,0.60502,1.25745,1.46859,1.20041,0.000609122,0.000609122,0.000609122
14,240.293,1.26722,1.68207,1.32692,0.96741,0.88616,0.93423,0.60911,1.24253,1.43713,1.18596,0.000576457,0.000576457,0.000576457
15,251.502,1.15817,1.57698,1.22607,0.96077,0.89124,0.9401,0.5912,1.30392,1.49278,1.22377,0.000511769,0.000511769,0.000511769
16,262.653,1.15389,1.57387,1.21853,0.97378,0.89121,0.95731,0.62288,1.17038,1.25116,1.13578,0.000429253,0.000429253,0.000429253
17,273.019,1.19591,1.51909,1.22527,0.97941,0.89604,0.963,0.64583,1.13935,1.21064,1.12618,0.000346736,0.000346736,0.000346736
18,283.361,1.1394,1.53172,1.2161,0.97126,0.90168,0.96352,0.6583,1.12652,1.18461,1.12055,0.00026422,0.00026422,0.00026422
19,293.745,1.14019,1.45575,1.25473,0.98193,0.90159,0.96587,0.66374,1.11365,1.16119,1.1057,0.000181703,0.000181703,0.000181703
20,347.549,1.11888,1.52816,1.2091,0.98284,0.90822,0.96915,0.66722,1.10486,1.13819,1.09802,9.91865e-05,9.91865e-05,9.91865e-05
